,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
United Nations,,,,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
World Population Prospects 2019,,,,,,,,,,,,,,,,,,,,
"File MORT/7-1: Life expectancy at birth (both sexes combined) by region, subregion and country, 1950-2100 (years)",,,,,,,,,,,,,,,,,,,,
"Estimates, 1950 - 2020",,,,,,,,,,,,,,,,,,,,
POP/DB/WPP/Rev.2019/MORT/F07-1,,,,,,,,,,,,,,,,,,,,
"ý August 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects 2019, Online Edition. Rev. 1.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,Life expectancy at birth for both sexes combined (years),,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
1,Estimates,WORLD,,900,World,0,46.96,49.37,51.18,55.43,58.09,60.27,62.07,63.71,64.56,65.63,67.05,68.92,70.88,72.28
2,Estimates,UN development groups,a,1803,Label/Separator,900,...,...,...,...,...,...,...,...,...,...,...,...,...,...
3,Estimates,More developed regions,b,901,Development Group,1803,64.83,67.73,69.49,70.33,71.13,72.02,72.86,73.95,74.16,74.80,75.60,76.93,78.43,79.24
4,Estimates,Less developed regions,c,902,Development Group,1803,41.67,44.08,46.18,51.51,54.81,57.41,59.52,61.35,62.48,63.72,65.25,67.14,69.14,70.70
5,Estimates,Least developed countries,d,941,Development Group,902,36.27,38.76,41.02,43.16,44.22,45.80,48.83,50.76,51.50,53.60,56.05,59.33,62.44,64.66
6,Estimates,"Less developed regions, excluding least developed countries",e,934,Development Group,902,42.47,44.87,46.94,52.79,56.51,59.38,61.39,63.20,64.50,65.67,67.07,68.71,70.51,71.95
7,Estimates,"Less developed regions, excluding China",,948,Development Group,1803,40.71,44.07,47.02,49.77,52.08,54.62,56.85,58.75,60.26,61.66,63.24,65.33,67.52,69.07
8,Estimates,Land-locked Developing Countries (LLDC),f,1636,Special other,1803,38.70,41.20,43.73,45.85,47.71,49.34,50.91,52.56,51.58,53.06,55.00,58.72,62.81,65.23
9,Estimates,Small Island Developing States (SIDS),g,1637,Special other,1803,49.10,52.68,55.58,58.10,60.30,61.88,63.61,64.98,66.06,67.33,68.53,69.84,71.00,72.12
10,Estimates,World Bank income groups,,1802,Label/Separator,900,...,...,...,...,...,...,...,...,...,...,...,...,...,...
11,Estimates,High-income countries,h,1503,Income Group,1802,64.88,67.35,68.71,69.69,70.88,72.31,73.62,74.76,75.79,76.95,78.16,79.31,80.29,80.87
